org,date,position_summary,quote,doc_url,source_page
Living Rivers,2023-08-16,Submits additional footnote attachments (8.8 MB) containing articles and reports cited in the scoping comments and requests inclusion in the administrative record.,Attached is one zip file (8.8 MB) containing documents cited in the footnotes in our scoping letter (Post-2026).,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Living Rivers,2023-08-16,Submission (fragment) indicating an additional set of documents cited in their Post-2026 scoping comments; requests inclusion in the administrative record.,Subject: 02: Documents cited in Living Rivers Scoping Comments for Post-2026 Operatio,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Living Rivers,2023-08-16,Requests Reclamation include attached documents cited in Living Rivers' scoping comments for the administrative record; provides zip files of supporting documents and prior comment letters covering dam operations (2005–2023).,Attached is a zip file (3.6 MB) of documents cited in a table on Page 2 and 3 in our scoping letter (Post-2026). Please include these documents for the administrative record.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Living Rivers,2023-08-17,Submits supporting documents cited in their Post-2026 scoping comments and requests inclusion of the zip file in the administrative record.,Attached is one zip file containing documents cited in our scoping letter (Post-2026).,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Living Rivers,2023-08-17,Provides an attached zip file of cited references for their scoping comments and asks Reclamation staff to include these documents in the administrative record.,Attached is one zip file (2.2 MB) containing documents cited in our scoping letter (Post-2026).,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Living Rivers,2023-08-17,Delivers a zip file (6.6 MB) of documents cited in the scoping letter and requests they be added to the administrative record.,Attached is one zip file (6.6 MB) containing documents cited in our scoping letter (Post-2026).,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Living Rivers,2023-08-17,Provides a larger attachment of footnote documents for the scoping letter and asks Reclamation to include them in the administrative record.,Attached is one zip file (10.1 MB) containing documents cited in the footnotes in our scoping letter (Post - 2026).,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Living Rivers & Colorado Riverkeeper,2020-11-13,"Opposes reliance on the 2007 Interim Guidelines and current DCPs as inadequate for long-term climate-driven declines; urges reconsultation and stronger, climate-aware operational changes and policies because existing plans cannot manage 20–25% shortages.","When the basin approaches losses in the range of 25%, we do not think any operational scenario is even feasible.",https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_LivingRivers.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
Living Rivers and Colorado Riverkeeper; Great Basin Water Network and Great Basin Waterkeeper; Center for Biological Diversity; Glen Canyon Institute; Utah Rivers Council; Las Vegas Water Defender; River Runners for Wilderness; Save The Colorado,,"Joint letter urging adoption of a 'naturalist approach' that accepts regional hydrologic limits, protects ecosystems and tribes, criticizes optimistic modeling and risky agricultural transfers, and calls for cooperative state action to equitably allocate dwindling Colorado River supplies.",We suggest that the basin managers take the naturalist approach to solve the water scarcity issue that this nation created.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/302_Living Rivers_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Living Rivers et al.,,"Opposes state-dominated process; requests a robust, basin-wide EIS that protects tribal water rights and ecosystems, analyzes worst-case climate declines, considers dam decommissioning/bypass, prevents non-native fish passage, and consolidates ESA consultation across dams.","Reclamation must start with a baseline that takes into account the water needed to preserve the ecosystem, endangered fish recovery, structural deficits due to evaporation and seepage, and reserved tribal water rights.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Living Rivers et al.,,Requests analysis of alternatives securing tribal reserved rights; evaluate infrastructure options including One-Dam and Glen Canyon Dam decommissioning; analyze replacement power (renewables/storage); expand NEPA scope and modeling scenarios; and incorporate tribal traditional knowledge and holistic ecosystem approaches.,The Bureau must plan now for decommissioning Glen Canyon Dam and analyze a range of corresponding engineering alternatives for doing so.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Living Rivers et al.,,"Urges Reclamation to incorporate new science, address system vulnerabilities and climate adaptation, include equity and tribal knowledge, and analyze alternatives that reflect likely aridification — including reduced reservoir storage and significant hydropower reductions or abandoning Lake Powell storage.",Reclamation must address this reality in the DEIS and consider significant reductions in hydropower in the alternatives.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Living Rivers Movement, Costa Rica Longo Mai, Costa Rica",,"Urges immediate inclusion of Indigenous leaders and climate/water justice groups in water policy; calls for nature-centered frameworks (environmental flows, Rights of Nature, post-growth economics), transparency, and urgent public engagement to address the Basin crisis.",Indigenous leaders and those representing climate and water justice movements in the Basin must be sought out and brought immediately to key water policy-making tables,https://www.usbr.gov/ColoradoRiverBasin/documents/Citizen Comments letters 508 compressed_updated_1.30.2023_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/pre-scope/summary-input.html
"Living Rivers, Colorado Riverkeeper, Center for Biological Diversity, Great Basin Water Network, River Runners for Wilderness, Save The Colorado, Las Vegas Water Defender, Glen Canyon Institute, Utah Rivers Council and Waterkeeper Alliance",2023-08-15,"Requests the EIS fully analyze direct, indirect, and cumulative effects of Reclamation operations and evaluate a range of holistic, adaptive alternatives that prioritize long-term sustainability, mitigate climate-driven scarcity, address system vulnerabilities, and enhance stakeholder, tribal, and public engagement.","Our comments address the direct, indirect and cumulative effects of all of the relevant Reclamation operations and a range of alternatives that illuminates the consequences of the choices for decision-makers.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Lower Division States,,"Calls for a Post-2026 EIS term that enables investment in new technologies and augmentation while allowing flexibility to respond to climate change; emphasizes engagement with Tribes, Mexico, and stakeholders and reserves rights to provide further comments.",The Post-2026 EIS must evaluate a term that is sufficient to enable investments in new technologies and augmentation programs.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Mad planet,,"Opposes depleting Lake Powell and Lake Mead for hydropower or urban/industrial uses; urges alternative power sources (e.g., fusion) and consideration of desalination; offers help to protect lakes.",We must not deplete Lake Powell or Lake Mead in use for hydro power and or going into Utah for its wealthy neighborhoods to use for massive golf courses and or Southern California,https://www.usbr.gov/ColoradoRiverBasin/documents/Citizen Comments letters 508 compressed_updated_1.30.2023_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/pre-scope/summary-input.html
Malkoe Design,2023-08-15,"Requests allowing Glen Canyon to recover, prioritizing filling Lake Mead before Lake Powell, and capping Lake Powell elevation (keep Powell no higher than 3,550).","Fill Lake Mead first and keep Powell no higher than 3,550 inches.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Individuals_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
OceanForesters / Hasan Consultants,,Proposes multi-benefit desalination projects (Sea of Cortez to Salton Sea) and a major rethink of 'senior water rights'—including giving Native Americans decisive control over total annual Colorado River withdrawals.,• Either drop the concept of “senior water rights” or reassess who really has the most senior water rights.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
MCWA,2023-08-15,Supports assessing system losses across all users; establishing Health and Safety Deliveries for municipal needs; defining beneficial use and efficiency standards; allowing on-river communities to create conserved water from effluent; and considering Upper Basin storage when protecting Lake Powell.,"In summary, MCWA believes the Post 2026 Guidelines should incorporate provisions to: i) assess system losses across all water users without regard to priority ; ii) establish Health and Safety Deliveries",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Metropolitan Water District of Southern California,2020-11-13,"Supports Reclamation’s retrospective 7.D. Effectiveness Review, praises the Interim Guidelines and Intentionally Created Surplus (ICS) for encouraging conservation and storage, and urges continued collaboration among Basin stakeholders to address declining inflows and climate change.",Metropolitan supports the U.S. Bureau of Reclamation’s (Reclamation) approach to the 7.D. Effectiveness Review.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_MWD.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
"Mohave County Board of Supervisors (Mohave County, Arizona)",2023-12-11,"Mohave County urges Reclamation to evaluate and mitigate severe impacts on on‑river Arizona communities dependent on fourth‑priority Colorado River entitlements, include reasonable alternatives and concrete mitigation to prevent loss of municipal water, and ensure equitable, health‑protective outcomes.",The Revised Draft SEIS fails to include any discussion of mitigation measures that could save these communities from obliteration under each of the alternatives.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/308_Mohave County Board of Supervisors_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Mohave County Water Authority,2023-08-15,"Urges that modifications to the 2007 interim guidelines be analyzed and implemented equitably for all parties reliant on the Colorado River, respecting the Law of the River while addressing system vulnerabilities revealed during the interim period.","Modifications to the interim guidelines should be done in as equitable a manner as possible to all parties reliant upon the Colorado River system, while respecting the Law of the River, to the greatest extent possible.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"MUNGER , TOLLES & OLSON LLP",2023-08-15,"Requests the Bureau comply with APA and NEPA, perform a detailed EIS analyzing site-specific and environmental justice impacts (including hydropower and Basin Funds), and ensure post-2026 operations follow the Law of the River and priority-based allocations.",The alternatives the Bureau develops for consideration in the post-2026 process must all comply with the priority system.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"MUNGER , TOLLES & OLSON LLP",2023-08-15,"Urges the Bureau to articulate a reasoned basis for discretionary apportionment, equitably allocate middle-priority water consistent with state apportionments, reform or wind down the ICS program, audit ICS conservation credits, and use Part 417 processes to limit deliveries.",The Bureau should reform it in ways that better align with the priority system and sound policy.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"MUNGER , TOLLES & OLSON LLP",2023-08-15,"Urges the Bureau to apply 43 C.F.R. §417, implement fair and equitable reductions, prioritize compensated voluntary reductions and market-based transfers, maintain predictable annual operating plans, consider recycling/reclamation, and clarify shortage allocation and consumptive-use accounting.","Thus, the Bureau should include within the scope of its post-2026 process assessing efficient systems to allocate and compensate for reductions in water usage.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"MUNGER, TOLLES & OLSON LLP",2023-08-15,"Requests an equitable, transparent, and comprehensive Bureau process with full input from major water users (including Yuma agricultural and military users); urges broader analysis including Upper Basin and Mexico and not constrained by prior analyses or modeling.","The Bureau must ensure full input from major water users with compelling and federally protected interests, such as agricultural and military users in the Yuma area.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Nation Audubon Society,,"Supports rigorous water-use reductions while ensuring protection and funding for bird and wildlife habitats (Grand Canyon, Lower Colorado, Salton Sea, Colorado River Delta) as climate change reduces flows.",I urge the Bureau of Reclamation to ensure habitat for birds and other wildlife remains protected.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Form_Letters_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
National Audubon Society (Audubon),2023-08-11,"Urges Reclamation to adopt post-2026 operations that address climate and biodiversity crises, prioritize system stability over maximum deliveries, protect Colorado River-dependent habitats, include Tribes and Mexico, ensure transparency, and evaluate habitat mitigation.",Reclamation’s metrics for the Colorado River water supply should prioritize system stability over maximizing deliveries to water users.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"National Audubon Society, Western Resource Advocates, Theodore Roosevelt Conservation Partnership, American Rivers, The Nature Conservancy, Environmental Defense Fund, Trout Unlimited",2024-03-29,"Conservation NGOs ask Reclamation to include their 'Cooperative Conservation Alternative' in the post-2026 EIS and to evaluate tools such as Dual Indicator operations, stewardship/mitigation targets, and a Conservation Reserve to stabilize storage and protect ecosystems.","We urge Reclamation to incorporate this Alternative into the NEPA process, evaluating its impact and feasibility alongside other alternatives.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/2024-03-29_Final_Letter_re_Cooperative_Conservation_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/alternatives/index.html
National Park Service,,"Requests Reclamation include worst-case inflow scenarios, quantify reservoir evaporation, proactively cut usage to rebuild storage, protect listed species, consider DROA operations and temperature/flow controls at dams, and evaluate combined Powell–Mead volume management.","The NPS recommends Reclamation work closely with all DOI bureaus engaged with Colorado River resources and operations to optimize the range of alternatives to meet all legal mandates, regardless of bureau.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
National Park Service,2023-12-07,"NPS supports the SEIS proposed action and proactive conservation (e.g., 3.0 million acre-feet over 3 years, lower Glen Canyon releases) to rebuild storage, protect park resources, recreation and listed fish, and opposes No Action.",NPS supports this timely process - NPS managers strongly support this SEIS process and the Post 2026 planning process to better balance inflow and outflows of Colorado River reservoirs and improve reservoir level stabilization.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/117_National Park Service_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Natural Resources Defense Council,,"Urges Reclamation to honor Tribal water rights, disclose modeling assumptions, incorporate robust climate scenarios, adopt stronger shortage criteria, expand conservation mechanisms, enforce beneficial-use standards, require water-efficiency best practices, allocate Lower Basin evaporation, and limit post-2026 plan to ≤10 years.",Reclamation should clearly describe all modeling assumptions and inputs used in its projections of unregulated inflows into Lake Powell.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Natural Resources Defense Council,,"Urges urgent, sustainable management and stewardship of the Colorado River in post-2026 operations and requests the Bureau consider these comments to ensure long-term water security.",the need for sustainable management and stewardship of the Colorado River remains extremely urgent.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/295_Natural Resource Defense Council_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Nebraska Department of Natural Resources,2023-08-14,Requests the Bureau evaluate impacts of post‑2026 operational changes on Colorado‑Big Thompson trans‑basin diversions and Nebraska’s South Platte River Compact rights; opposes changes that would limit C‑BT diversions and harm Nebraska.,Nebraska requests that the Bureau consider potential impacts of any post-2026 operational changes on the viability and vitality of continued C-BT diversions.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
NEW MEXICO INTERSTATE STREAM COMMISSION,2020-11-13,"Requests Reclamation include an Upper Basin perspective, perform a comparison of system performance under the Interim Guidelines versus pre-2007 operations (storage, water supply, power), and involve New Mexico in future discussions; emphasizes the review is retrospective, not a roadmap for replacements.",New Mexico still believes in the need for a comparison between how the system performed under the Interim Guidelines with how the system would have performed under the operations used before implementation of the Interim Guidelines.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_NMISC.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
NGO Consortium,2020-11-13,"Requests that Reclamation focus its 7.D. Review on preparing post‑2026 operations for long‑term scarcity and drought, improve modeling and stakeholder/international/tribal engagement, assess effects of ICS and Guidelines on resources, and consider adaptive governance and improved data.",the Basin is likely facing long-term scarcity and that seeking solutions to operate sustainably under such conditions will be essential going forward.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_NGOs.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
Northern Water,,No policy position visible in this excerpt; only signature/affiliation is shown.,Marshall P. Brown General Manager Northern Water,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
NRDC,2023-12-11,"Urges Reclamation to reinstate and consider 2M AFY (and 2–4M AFY) reduction alternatives, opposes the 750k AFY preferred alternative, seeks federal funds tied to permanent conservation, rigorous application of 43 CFR Part 417 to curb unreasonable use, and adoption of basin best practices.",NRDC strongly supports alternative analyses covering the original 2-4M AFY range that USBR was recommending prior to the 22-23 precipitation year.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/295_Natural Resource Defense Council_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
"The Hopi Tribe, Office of the Chairman",2023-08-11,Requests modeling and demand assumptions account for undeveloped and unsettled Hopi (and Navajo) water rights and unused Upper/Lower Basin entitlements; asks Reclamation to assume tribal use and include impacts in government-to-government consultation.,The modeling approach developed by the United States for post-2026 operational strategies should account for undeveloped and unsettled Hopi water rights.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Office of the Secretary, Department of the Interior",1980-12-10,"Allocates Central Arizona Project water to Indian tribes (approximately 309,628 acre-feet) and stipulates that in shortages tribal supplies will be reduced proportionally with municipal and industrial supplies.","This notice allocates 309,628 acre-feet of water to Indian reservations, with the stipulation that in times of shortages, the Indian supply will be reduced on a proportional basis with the municipal and industrial (M&J) supply.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Pacific Institute,2020-11-13,"Commends the Review but urges Reclamation to acknowledge negotiation controversies and transparency shortcomings, address basin water-use accounting uncertainties, finalize Brock Reservoir and Consumptive Uses & Losses reports, and commit to regular (decadal) retrospective assessments.",Please finalize and distribute the Brock Reservoir Summary Report.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_PacInst.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
Pacific Institute,2022-09-01,"Urges Reclamation to act immediately (not wait until 2026) to reduce 2–4 MAF, broaden scope beyond reservoir operations, and adopt measures like decarbonizing operations, allocating evaporation, accelerating canal lining, and eliminating ICS/DCP limits.",Reclamation must act quickly and decisively to avert the impending crisis.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Pacific Institute,2023-08-13,"Urges Reclamation to allocate reservoir evaporation, limit Upper Division consumptive use, accelerate canal lining, fully mitigate impacts (Salton Sea, communities), expand and remove limits on ICS/DCP ICS eligibility and storage, cap drought-payment abuses, and support corporate water stewardship and funding.","Reclamation should eliminate the existing limits on the total quantity of Extraordinary Conservation ICS and DCP ICS that may be accumulated in ICS and DCP ICS accounts, while maintaining existing limits on delivery of such water.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Pacific Institute,2023-08-13,"Urges Reclamation to define a broad purpose and need prioritizing long-term sustainability, protect people and ecosystems over routine dam operations, expand geographic scope beyond Lake Powell, and consider reductions from all sectors and states.",The purpose and need must be broader than just “Operational Guidelines and Strategies for Lake Powell and Lake Mead.”,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Pacific Institute (with NRDC),2022-12-20,"Calls for an ‘‘all hands on deck’’ response: coordinate federal agencies, leverage authorities, and provide funding to incentivize conservation and mitigate economic, public health, and environmental impacts while developing additional policies and actions.","As Interior and Reclamation consider new approaches and concepts, they should also coordinate with other federal agencies to leverage their respective authorities",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Pacific Institute Natural Resources Defense Council,,"Urges SEIS to evaluate evaporation/seepage losses, mitigate community and environmental impacts of water use reductions, expand species recovery programs, protect Salton Sea and Colorado River delta, oppose off‑stream storage, and initiate necessary rulemaking.",Reclamation should not authorize or deliver water for off-stream storage or groundwater recharge - including water exchanges used for such purposes - until system storage recovers.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Pacific Institute; Leadership Counsel for Justice and Accountability,2023-12-11,"Urges Reclamation to acknowledge and mitigate significant adverse impacts of the proposed action on the Salton Sea, require mitigation actions before future water reductions, analyze salinity, define public health and safety, describe federal land ownership, and address environmental justice.",We urge Reclamation to acknowledge the significant adverse impacts the proposed action will cause at the Salton Sea and make future water reductions in the Salton Sea region contingent on the four actions noted above,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/285_Leadership Counsel for Justice and Accountability_Pacific Institute_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Papago,,"Contends the 1976 allocation to Chuichu (8,000 af) is insufficient for an economic farm unit and requests reallocation from Gila Bend to San Xavier or Chuichu if feasible.","The tribe claimed that the 1976 allocation of 8,000 acre-feet to Chuichu is mistaken because it is insufficient to sustain an economic farm unit.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
PARKHOUSE TIRE. INC.,2022-06-30,Asks the Bureau to consider building a pipeline conveying water from the Mississippi River to Lake Powell to address falling reservoir levels.,Why cant we build a pipeline running water from the Mississippi river to lake Powell.,https://www.usbr.gov/ColoradoRiverBasin/documents/Citizen Comments letters 508 compressed_updated_1.30.2023_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/pre-scope/summary-input.html
Pascua Yaqui,,Requests an additional 400 acre-feet per year to maintain a permanent tribal homeland.,"The Tribe has requested an additional allocation of 400 acre-feet per year, for maintenance of a permanent tribal homeland.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
PASCUA YAQUI TRIBE,2023-08-15,"Requests Reclamation honor the United States' trust responsibility, protect tribal Colorado River deliveries and CAP allocations, provide assistance to replace lost supplies when reductions threaten tribal health, economies, or settlements, and continue meaningful consultation.",any reduction in that supply threatens our ability to provide water to meet the needs of our People on our Reservation.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Phoenix,2023-08-15,"Supports continuation of ICS with modifications; urges broader EIS scope including coordinated operation of Lakes Mead and Powell, robust climate futures analysis, economic and health risk assessment, conservation and demand-management, stakeholder processes, and adopting a precautionary, resilience-focused approach.",This would include continuation of the ICS rules with certain modifications to minimize operational risks associated with ICS storage and withdrawals .,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Phoenix,2023-08-15,"Requests the EIS include temperature-adjusted/dry-end hydrology scenarios and comprehensive analyses of water supply, conservation, transactions, water quality, storage, infrastructure, socioeconomics, health, agriculture, energy, biological resources, and mitigation; and analyze impacts of significant shortages including dead-pool conditions.",The hydrology ensembles that are used should thus sample a sufficient number of plausible dry-end scenarios to ensure that the management of Colorado River water is robust to future dry conditions.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Phoenix NOi EIS Comment Letter,2023-08-15,"Requests the EIS consider whole-system storage, adaptive signposts/triggers, graduated delivery adjustments, protection of municipal and high-priority rights, compliance with environmental flow targets, and mitigation investments and demand-management to improve long-term basin resilience.","We recommend that the following general management strategies should be considered as part of the alternatives development process for the EIS, including as part of mitigation efforts",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Phoenix NOi EIS Comment Letter,2023-08-15,"Supports collaborative, adaptive post-2026 guidelines emphasizing operational flexibility, creative storage use, incentives for transactions and tribal protections; urges broader scope including Upper Basin reservoirs and comprehensive climate and hydrology analyses.",A next step should be the consideration of a broader range of activities that could creatively generate and utilize storage and incentivize participation.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Quechan Indian Tribe,2022-08-29,States the Tribe is ready and eager to engage at the highest levels of discussions and negotiations to shape post-2026 operations and protect tribal water rights.,The Tribe is ready and eager to engage at the highest levels of the discussions and negotiations,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
QUECHAN INDIAN TRIBE,2023-08-15,"Urges inclusion of Basin tribes at parity with Basin states in consultation and decision-making; supports technical tools, adaptive whole-system management, robust modeling, protection of tribal water rights, and avoidance of involuntary out-of-priority cuts.",any such ROD should specifically require Reclamation to con ult with Basin tribes in parity with the Basin states.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
